Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;PK;PKatt;Matches
52;Yossi Benayoun;il ISR;MF;Chelsea;31;1980;0.0;0;;0;;;0.00;;;;0;0;Matches
53;Nicklas Bendtner;dk DEN;FW;Arsenal;23;1988;0.1;0;;0;;;0.00;;;;0;0;Matches
54;Nicklas Bendtner;dk DEN;FW;Sunderland;23;1988;24.7;8;;23;;;0.93;;0.30;;1;1;Matches
55;Elliott Bennett;eng ENG;DF,MF;Norwich City;22;1988;22.4;1;;10;;;0.45;;0.10;;0;0;Matches
56;Ryan Bennett;eng ENG;DF;Norwich City;21;1990;8.0;0;;0;;;0.00;;;;0;0;Matches
57;Darren Bent;eng ENG;FW;Aston Villa;27;1984;20.6;9;;26;;;1.26;;0.27;;2;2;Matches
58;Dimitar Berbatov;bg BUL;FW;Manchester Utd;30;1981;5.8;7;;10;;;1.73;;0.50;;2;2;Matches
59;Christophe Berra;sct SCO;DF;Wolves;26;1985;30.0;0;;3;;;0.10;;0.00;;0;0;Matches
60;Ryan Bertrand;eng ENG;DF,MF;Chelsea;21;1989;6.0;0;;1;;;0.17;;0.00;;0;0;Matches
61;Federico Bessone;ar ARG;DF;Swansea City;27;1984;0.1;0;;0;;;0.00;;;;0;0;Matches
62;Leon Best;ie IRL;FW;Newcastle Utd;24;1986;12.8;4;;8;;;0.63;;0.50;;0;0;Matches
63;Diniyar Bilyaletdinov;ru RUS;MF;Everton;26;1985;5.8;0;;0;;;0.00;;;;0;0;Matches
64;Nick Blackman;bb BRB;FW,MF;Blackburn;21;1989;0.1;0;;0;;;0.00;;;;0;0;Matches
65;Robbie Blake;eng ENG;FW,MF;Bolton;35;1976;0.1;0;;0;;;0.00;;;;0;0;Matches
66;Ádám Bogdán;hu HUN;GK;Bolton;23;1987;20.0;0;;0;;;0.00;;;;0;0;Matches
67;José Bosingwa;pt POR;DF;Chelsea;28;1982;23.5;1;;4;;;0.17;;0.25;;0;0;Matches
68;Jay Bothroyd;eng ENG;FW;QPR;29;1982;12.3;2;;10;;;0.82;;0.20;;0;0;Matches
69;Dedryck Boyata;be BEL;DF;Bolton;20;1990;12.5;1;;2;;;0.16;;0.50;;0;0;Matches
70;Emmerson Boyce;bb BRB;DF;Wigan Athletic;31;1979;25.2;3;;4;;;0.16;;0.75;;0;0;Matches
71;Titus Bramble;eng ENG;DF;Sunderland;30;1981;7.2;1;;2;;;0.28;;0.50;;0;0;Matches
72;Wayne Bridge;eng ENG;DF;Sunderland;30;1980;3.6;0;;0;;;0.00;;;;0;0;Matches
73;Matthew Briggs;gy GUY;DF;Fulham;20;1991;1.0;0;;0;;;0.00;;;;0;0;Matches
74;Leon Britton;eng ENG;MF;Swansea City;28;1982;33.4;0;;0;;;0.00;;;;0;0;Matches
75;Wes Brown;eng ENG;DF;Sunderland;31;1979;19.3;1;;3;;;0.16;;0.33;;0;0;Matches
76;Chris Brunt;nir NIR;DF,MF;West Brom;26;1984;25.6;2;;11;;;0.43;;0.18;;0;0;Matches
