Rk;Player;Nation;Pos;Squad;Age;Born;90s;Gls;Sh;SoT;SoT%;Sh/90;SoT/90;G/Sh;G/SoT;Dist;PK;PKatt;Matches
229;Jonás Gutiérrez;ar ARG;MF;Newcastle Utd;28;1983;36.7;2;;10;;;0.27;;0.20;;0;0;Matches
230;Brad Guzan;us USA;GK;Aston Villa;26;1984;6.6;0;;0;;;0.00;;;;0;0;Matches
231;Asamoah Gyan;gh GHA;FW;Sunderland;25;1985;2.6;0;;3;;;1.17;;0.00;;0;0;Matches
232;Ali Al-Habsi;om OMA;GK;Wigan Athletic;29;1981;38.0;0;;0;;;0.00;;;;0;0;Matches
233;Fitz Hall;eng ENG;DF,FW;QPR;30;1980;10.2;0;;0;;;0.00;;;;0;0;Matches
234;Adam Hammill;eng ENG;FW,MF;Wolves;23;1988;3.9;0;;6;;;1.55;;0.00;;0;0;Matches
235;Brede Hangeland;no NOR;DF;Fulham;30;1981;38.0;0;;4;;;0.11;;0.00;;0;0;Matches
236;Grant Hanley;sct SCO;DF;Blackburn;19;1991;20.3;1;;5;;;0.25;;0.20;;0;0;Matches
237;Owen Hargreaves;eng ENG;MF;Manchester City;30;1981;0.2;0;;0;;;0.00;;;;0;0;Matches
238;Michael Harriman;ie IRL;DF,MF;QPR;18;1992;0.3;0;;0;;;0.00;;;;0;0;Matches
239;Joe Hart;eng ENG;GK;Manchester City;24;1987;38.0;0;;0;;;0.00;;;;0;0;Matches
240;John Heitinga;nl NED;DF,MF;Everton;27;1983;28.2;1;;4;;;0.14;;0.25;;0;0;Matches
241;Heiðar Helguson;is ISL;FW;QPR;33;1977;12.8;8;;14;;;1.09;;0.43;;2;2;Matches
242;Jordan Henderson;eng ENG;MF;Liverpool;21;1990;29.5;2;;19;;;0.64;;0.11;;0;0;Matches
243;Adam Henley;wls WAL;DF;Blackburn;17;1994;5.2;0;;0;;;0.00;;;;0;0;Matches
244;Wayne Hennessey;wls WAL;GK;Wolves;24;1987;34.0;0;;0;;;0.00;;;;0;0;Matches
245;Karl Henry;eng ENG;DF,MF;Wolves;28;1982;28.7;0;;3;;;0.10;;0.00;;0;0;Matches
246;Thierry Henry;fr FRA;FW;Arsenal;33;1977;1.1;1;;1;;;0.92;;1.00;;0;0;Matches
247;Chris Herd;au AUS;DF,MF;Aston Villa;22;1989;16.3;1;;5;;;0.31;;0.20;;0;0;Matches
248;Javier Hernández;mx MEX;FW;Manchester Utd;23;1988;16.4;10;;23;;;1.40;;0.39;;1;1;Matches
249;Emile Heskey;eng ENG;FW;Aston Villa;33;1978;16.2;1;;10;;;0.62;;0.10;;0;0;Matches
250;Tony Hibbert;eng ENG;DF;Everton;30;1981;30.6;0;;1;;;0.03;;0.00;;0;0;Matches
251;Danny Higginbotham;gi GIB;DF;Stoke City;32;1978;1.3;0;;2;;;1.59;;0.00;;0;0;Matches
252;Henrique Hilário;pt POR;GK;Chelsea;35;1975;2.0;0;;0;;;0.00;;;;0;0;Matches
253;Clint Hill;eng ENG;DF;QPR;32;1978;19.0;0;;3;;;0.16;;0.00;;0;0;Matches
254;Junior Hoilett;ca CAN;FW,MF;Blackburn;21;1990;32.8;7;;21;;;0.64;;0.33;;0;1;Matches
255;Grant Holt;eng ENG;FW;Norwich City;30;1981;25.0;15;;36;;;1.44;;0.36;;2;2;Matches
256;Wes Hoolahan;ie IRL;MF;Norwich City;29;1982;25.3;4;;12;;;0.48;;0.33;;0;0;Matches
257;Tim Howard;us USA;GK;Everton;32;1979;38.0;1;;2;;;0.05;;0.50;;0;0;Matches
258;Jonny Howson;eng ENG;DF,MF;Norwich City;23;1988;10.5;1;;5;;;0.48;;0.20;;0;0;Matches
259;Tom Huddlestone;eng ENG;MF;Tottenham;24;1986;0.7;0;;1;;;1.45;;0.00;;0;0;Matches
260;Aaron Hughes;nir NIR;DF;Fulham;31;1979;17.2;0;;2;;;0.12;;0.00;;0;0;Matches
261;Robert Hulse;eng ENG;FW;QPR;31;1979;0.8;0;;0;;;0.00;;;;0;0;Matches
262;Stephen Hunt;ie IRL;FW,MF;Wolves;29;1981;15.4;3;;17;;;1.10;;0.00;;3;3;Matches
263;Sam Hutchinson;eng ENG;DF,MF;Chelsea;21;1989;0.9;0;;0;;;0.00;;;;0;0;Matches
264;Robert Huth;de GER;DF;Stoke City;26;1984;31.5;3;;7;;;0.22;;0.43;;0;0;Matches
265;Alan Hutton;sct SCO;DF;Aston Villa;26;1984;28.8;0;;0;;;0.00;;;;0;0;Matches
266;Carl Ikeme;ng NGA;GK;Wolves;25;1986;0.4;0;;0;;;0.00;;;;0;0;Matches
267;Stephen Ireland;ie IRL;MF;Aston Villa;24;1986;17.7;1;;5;;;0.28;;0.20;;0;0;Matches
268;Branislav Ivanović;rs SRB;DF;Chelsea;27;1984;25.2;3;;9;;;0.36;;0.33;;0;0;Matches
269;Jussi Jääskeläinen;fi FIN;GK;Bolton;36;1975;18.0;0;;0;;;0.00;;;;0;0;Matches
270;Simeon Jackson;ca CAN;FW;Norwich City;24;1987;10.5;3;;12;;;1.14;;0.25;;0;0;Matches
271;Phil Jagielka;eng ENG;DF,MF;Everton;28;1982;28.6;2;;5;;;0.18;;0.40;;0;0;Matches
272;Gonzalo Jara;cl CHI;DF,MF;West Brom;25;1985;1.8;0;;0;;;0.00;;;;0;0;Matches
273;Matthew Jarvis;eng ENG;MF;Wolves;25;1986;31.2;8;;13;;;0.42;;0.62;;0;0;Matches
274;Nikica Jelavić;hr CRO;FW;Everton;25;1985;10.6;9;;18;;;1.70;;0.44;;1;1;Matches
275;Jermaine Jenas;eng ENG;MF;Aston Villa;28;1983;1.2;0;;0;;;0.00;;;;0;0;Matches
276;Carl Jenkinson;eng ENG;DF;Arsenal;19;1992;5.5;0;;0;;;0.00;;;;0;0;Matches
277;Cameron Jerome;eng ENG;FW;Stoke City;24;1986;9.4;4;;10;;;1.06;;0.40;;0;0;Matches
278;Park Ji-sung;kr KOR;MF;Manchester Utd;30;1981;10.4;2;;6;;;0.58;;0.33;;0;0;Matches
279;Adam Johnson;eng ENG;MF;Manchester City;24;1987;12.7;6;;14;;;1.10;;0.43;;0;0;Matches
280;Andrew Johnson;eng ENG;FW;Fulham;30;1981;13.9;3;;16;;;1.15;;0.19;;0;0;Matches
281;Bradley Johnson;eng ENG;DF,MF;Norwich City;24;1987;23.4;2;;11;;;0.47;;0.18;;0;0;Matches
282;Glen Johnson;eng ENG;DF;Liverpool;26;1984;21.7;1;;7;;;0.32;;0.14;;0;0;Matches
283;Roger Johnson;eng ENG;DF;Wolves;28;1983;26.2;0;;3;;;0.11;;0.00;;0;0;Matches
284;Billy Jones;eng ENG;DF;West Brom;24;1987;17.9;0;;0;;;0.00;;;;0;0;Matches
285;Brad Jones;au AUS;GK;Liverpool;29;1982;0.7;0;;0;;;0.00;;;;0;0;Matches
286;David Jones;eng ENG;MF;Wigan Athletic;26;1984;12.9;0;;2;;;0.15;;0.00;;0;0;Matches
287;Kenwyne Jones;tt TRI;FW;Stoke City;26;1984;10.9;1;;2;;;0.18;;0.50;;0;0;Matches
288;Phil Jones;eng ENG;DF,MF;Manchester Utd;19;1992;23.6;1;;8;;;0.34;;0.13;;0;0;Matches
289;Nigel de Jong;nl NED;MF;Manchester City;26;1984;12.0;0;;0;;;0.00;;;;0;0;Matches
290;Eggert Jónsson;is ISL;DF,MF;Wolves;22;1988;1.9;0;;0;;;0.00;;;;0;0;Matches
291;Younès Kaboul;fr FRA;DF;Tottenham;25;1986;32.2;1;;9;;;0.28;;0.11;;0;0;Matches
292;Alexander Kačaniklić;se SWE;FW,MF;Fulham;19;1991;2.3;0;;1;;;0.44;;0.00;;0;0;Matches
293;Gaël Kakuta;cd COD;FW,MF;Bolton;20;1991;0.8;0;;0;;;0.00;;;;0;0;Matches
294;Salomon Kalou;ci CIV;FW,MF;Chelsea;25;1985;6.4;1;;6;;;0.94;;0.17;;0;0;Matches
295;Pajtim Kasami;ch SUI;FW,MF;Fulham;19;1992;3.0;0;;2;;;0.67;;0.00;;0;0;Matches
296;Jake Kean;eng ENG;GK;Blackburn;20;1991;1.0;0;;0;;;0.00;;;;0;0;Matches
297;Robbie Keane;ie IRL;FW;Aston Villa;31;1980;5.1;3;;7;;;1.37;;0.43;;0;0;Matches
298;Will Keane;ie IRL;FW,MF;Manchester Utd;18;1993;0.1;0;;0;;;0.00;;;;0;0;Matches
299;Martin Kelly;eng ENG;DF,MF;Liverpool;21;1990;10.7;0;;3;;;0.28;;0.00;;0;0;Matches
300;Stephen Kelly;ie IRL;DF;Fulham;27;1983;22.5;0;;2;;;0.09;;0.00;;0;0;Matches
301;Paddy Kenny;ie IRL;GK;QPR;33;1978;33.0;0;;0;;;0.00;;;;0;0;Matches
302;Michael Kightly;eng ENG;FW,MF;Wolves;25;1986;13.2;3;;5;;;0.38;;0.60;;0;0;Matches
303;Matthew Kilgallon;eng ENG;DF;Sunderland;27;1984;8.8;0;;0;;;0.00;;;;0;0;Matches
304;Ledley King;eng ENG;DF,MF;Tottenham;30;1980;19.9;0;;0;;;0.00;;;;0;0;Matches
305;Ivan Klasnić;hr CRO;FW;Bolton;31;1980;16.7;8;;16;;;0.96;;0.44;;1;1;Matches
306;Zat Knight;eng ENG;DF;Bolton;31;1980;22.0;0;;0;;;0.00;;;;0;0;Matches
307;Aleksandar Kolarov;rs SRB;DF;Manchester City;25;1985;9.1;2;;5;;;0.55;;0.40;;0;0;Matches
308;Vincent Kompany;be BEL;DF;Manchester City;25;1986;30.8;3;;8;;;0.26;;0.38;;0;0;Matches
309;Laurent Koscielny;fr FRA;DF;Arsenal;25;1985;31.9;2;;4;;;0.13;;0.50;;0;0;Matches
310;Niko Kranjčar;hr CRO;MF;Tottenham;26;1984;7.1;1;;5;;;0.70;;0.20;;0;0;Matches
311;Tim Krul;nl NED;GK;Newcastle Utd;23;1988;38.0;0;;0;;;0.00;;;;0;0;Matches
312;Dirk Kuyt;nl NED;DF,FW;Liverpool;31;1980;22.3;2;;17;;;0.76;;0.12;;0;0;Matches
313;Sotirios Kyrgiakos;gr GRE;DF;Sunderland;32;1979;2.1;0;;0;;;0.00;;;;0;0;Matches
314;Frank Lampard;eng ENG;MF;Chelsea;33;1978;25.0;11;;24;;;0.96;;0.33;;3;4;Matches
315;Cameron Lancaster;eng ENG;FW;Tottenham;18;1992;0.1;0;;0;;;0.00;;;;0;0;Matches
316;Henri Lansbury;eng ENG;MF;Arsenal;20;1990;0.3;0;;0;;;0.00;;;;0;0;Matches
317;Simon Lappin;sct SCO;DF,MF;Norwich City;28;1983;3.2;0;;1;;;0.31;;0.00;;0;0;Matches
318;Sebastian Larsson;se SWE;MF;Sunderland;26;1985;29.9;7;;19;;;0.63;;0.37;;0;1;Matches
319;Lucas Leiva;br BRA;MF;Liverpool;24;1987;11.6;0;;0;;;0.00;;;;0;0;Matches
320;Aaron Lennon;eng ENG;FW,MF;Tottenham;24;1987;17.5;3;;6;;;0.34;;0.50;;0;0;Matches
321;Joleon Lescott;eng ENG;DF;Manchester City;28;1982;29.8;2;;3;;;0.10;;0.67;;0;0;Matches
322;Eric Lichaj;us USA;DF;Aston Villa;22;1988;9.1;1;;2;;;0.22;;0.50;;0;0;Matches
323;Anders Lindegaard;dk DEN;GK;Manchester Utd;27;1984;8.0;0;;0;;;0.00;;;;0;0;Matches
324;Leroy Lita;eng ENG;FW;Swansea City;26;1984;5.2;2;;4;;;0.77;;0.50;;0;0;Matches
325;Jake Livermore;eng ENG;MF;Tottenham;21;1989;9.5;0;;2;;;0.21;;0.00;;0;0;Matches
326;Shane Long;ie IRL;FW;West Brom;24;1987;24.3;8;;23;;;0.95;;0.30;;1;1;Matches
327;Adrián López;es ESP;DF;Wigan Athletic;24;1987;4.9;0;;0;;;0.00;;;;0;0;Matches
328;Jason Lowe;eng ENG;DF,MF;Blackburn;19;1991;29.7;0;;1;;;0.03;;0.00;;0;0;Matches
329;David Luiz;br BRA;DF,MF;Chelsea;24;1987;18.3;2;;6;;;0.33;;0.33;;0;0;Matches
330;Romelu Lukaku;be BEL;FW;Chelsea;18;1993;1.8;0;;5;;;2.73;;0.00;;0;0;Matches
331;Peter Løvenkrands;dk DEN;FW,MF;Newcastle Utd;31;1980;2.3;0;;0;;;0.00;;;;0;0;Matches
332;Federico Macheda;it ITA;FW;Manchester Utd;19;1991;0.5;0;;0;;;0.00;;;;0;0;Matches
333;Federico Macheda;it ITA;FW;QPR;19;1991;0.4;0;;;;;;;;;0;0;Matches
334;Jamie Mackie;sct SCO;FW,MF;QPR;25;1985;24.3;7;;14;;;0.58;;0.50;;0;0;Matches
335;Stefan Maierhofer;at AUT;FW;Wolves;28;1982;0.0;0;;0;;;0.00;;;;0;0;Matches
336;Shaun Maloney;sct SCO;FW,MF;Wigan Athletic;28;1983;8.6;3;;9;;;1.05;;0.22;;1;1;Matches
337;Florent Malouda;fr FRA;FW,MF;Chelsea;31;1980;12.9;2;;13;;;1.01;;0.15;;0;0;Matches
338;Chris Martin;sct SCO;FW;Norwich City;22;1988;2.6;0;;2;;;0.76;;0.00;;0;0;Matches
339;Russell Martin;sct SCO;DF;Norwich City;25;1986;31.7;2;;5;;;0.16;;0.40;;0;0;Matches
340;Sylvain Marveaux;fr FRA;FW,MF;Newcastle Utd;25;1986;1.6;0;;0;;;0.00;;;;0;0;Matches
341;Juan Mata;es ESP;FW,MF;Chelsea;23;1988;27.9;6;;24;;;0.86;;0.25;;0;0;Matches
342;Conor McAleny;eng ENG;FW,MF;Everton;18;1992;0.2;0;;1;;;5.00;;0.00;;0;0;Matches
343;James McArthur;sct SCO;MF;Wigan Athletic;23;1987;19.7;3;;7;;;0.36;;0.43;;0;0;Matches
344;Gareth McAuley;nir NIR;DF;West Brom;31;1979;32.0;2;;7;;;0.22;;0.29;;0;0;Matches
345;James McCarthy;ie IRL;MF;Wigan Athletic;20;1990;32.0;0;;5;;;0.16;;0.00;;0;0;Matches
346;James McClean;ie IRL;DF,FW;Sunderland;22;1989;20.5;5;;15;;;0.73;;0.33;;0;0;Matches
347;Josh McEachran;eng ENG;MF;Chelsea;18;1993;0.2;0;;0;;;0.00;;;;0;0;Matches
348;Josh McEachran;eng ENG;MF;Swansea City;18;1993;1.4;0;;0;;;0.00;;;;0;0;Matches
349;James McFadden;sct SCO;FW,MF;Everton;28;1983;1.9;0;;2;;;1.07;;0.00;;0;0;Matches
350;Callum McManaman;eng ENG;FW,MF;Wigan Athletic;20;1991;0.2;0;;0;;;0.00;;;;0;0;Matches
351;Tyrone Mears;jm JAM;DF;Bolton;28;1983;1.0;0;;0;;;0.00;;;;0;0;Matches
352;Raul Meireles;pt POR;MF;Liverpool;28;1983;0.4;0;;0;;;0.00;;;;0;0;Matches
353;Raul Meireles;pt POR;MF;Chelsea;28;1983;21.4;2;;10;;;0.47;;0.20;;0;0;Matches
354;Per Mertesacker;de GER;DF;Arsenal;26;1984;20.3;0;;2;;;0.10;;0.00;;0;0;Matches
355;David Meyler;ie IRL;MF;Sunderland;22;1989;1.8;0;;0;;;0.00;;;;0;0;Matches
356;Simon Mignolet;be BEL;GK;Sunderland;23;1988;28.6;0;;0;;;0.00;;;;0;0;Matches
357;Nenad Milijaš;rs SRB;MF;Wolves;28;1983;8.2;0;;4;;;0.49;;0.00;;0;0;Matches
358;James Milner;eng ENG;DF,MF;Manchester City;25;1986;17.6;3;;8;;;0.45;;0.25;;1;1;Matches
359;Ignasi Miquel;es ESP;DF;Arsenal;18;1992;2.4;0;;0;;;0.00;;;;0;0;Matches
360;Ryo Miyaichi;jp JPN;FW,MF;Bolton;18;1992;7.6;0;;4;;;0.53;;0.00;;0;0;Matches
361;Anthony Modeste;fr FRA;FW;Blackburn;23;1988;4.4;0;;4;;;0.92;;0.00;;0;0;Matches
362;Luka Modrić;hr CRO;MF;Tottenham;25;1985;35.7;4;;25;;;0.70;;0.16;;0;0;Matches
363;Garry Monk;eng ENG;DF;Swansea City;32;1979;14.1;0;;0;;;0.00;;;;0;0;Matches
364;Luke Moore;eng ENG;FW;Swansea City;25;1986;5.9;2;;6;;;1.02;;0.33;;0;0;Matches
365;Vangelis Moras;gr GRE;DF;Swansea City;29;1981;0.1;0;;0;;;0.00;;;;0;0;Matches
366;Steve Morison;wls WAL;FW;Norwich City;27;1983;23.4;9;;23;;;0.98;;0.39;;0;0;Matches
367;Josh Morris;eng ENG;DF,FW;Blackburn;19;1991;0.9;0;;1;;;1.11;;0.00;;0;0;Matches
368;James Morrison;sct SCO;FW,MF;West Brom;25;1986;23.8;5;;17;;;0.71;;0.29;;0;0;Matches
369;Victor Moses;ng NGA;DF,FW;Wigan Athletic;20;1990;35.7;6;;32;;;0.90;;0.19;;0;0;Matches
370;Fabrice Muamba;eng ENG;MF;Bolton;23;1988;14.7;1;;4;;;0.27;;0.25;;0;0;Matches
371;Youssouf Mulumbu;cd COD;MF;West Brom;24;1987;31.0;1;;8;;;0.26;;0.13;;0;0;Matches
372;Danny Murphy;eng ENG;MF;Fulham;34;1977;30.3;3;;11;;;0.36;;0.09;;2;2;Matches
373;David N'Gog;fr FRA;FW;Bolton;22;1989;22.6;3;;21;;;0.93;;0.14;;0;0;Matches
374;Charles N'Zogbia;fr FRA;DF,FW;Aston Villa;25;1986;23.0;2;;11;;;0.48;;0.18;;0;0;Matches
375;Nani;pt POR;FW,MF;Manchester Utd;24;1986;23.4;8;;24;;;1.03;;0.33;;0;0;Matches
376;Samir Nasri;fr FRA;FW,MF;Arsenal;24;1987;1.0;0;;0;;;0.00;;;;0;0;Matches
377;Samir Nasri;fr FRA;FW,MF;Manchester City;24;1987;24.0;5;;17;;;0.71;;0.29;;0;0;Matches
378;Kyle Naughton;eng ENG;DF;Norwich City;22;1988;30.0;0;;5;;;0.17;;0.00;;0;0;Matches
379;Ryan Nelsen;nz NZL;DF;Tottenham;33;1977;1.3;0;;0;;;0.00;;;;0;0;Matches
380;Ryan Nelsen;nz NZL;DF;Blackburn;33;1977;1.0;0;;0;;;0.00;;;;0;0;Matches
381;Phil Neville;eng ENG;DF,MF;Everton;34;1977;22.9;0;;0;;;0.00;;;;0;0;Matches
382;Ryan Noble;eng ENG;FW;Sunderland;20;1991;0.1;0;;0;;;0.00;;;;0;0;Matches
383;Steven Nzonzi;fr FRA;MF;Blackburn;22;1988;31.2;2;;6;;;0.19;;0.33;;0;0;Matches
384;Jamie O'Hara;eng ENG;MF;Wolves;24;1986;18.4;2;;16;;;0.87;;0.13;;0;0;Matches
385;John O'Shea;ie IRL;DF,MF;Sunderland;30;1981;27.1;0;;6;;;0.22;;0.00;;0;0;Matches
386;Gabriel Obertan;fr FRA;FW,MF;Newcastle Utd;22;1989;17.2;1;;2;;;0.12;;0.50;;0;0;Matches
387;John Obi Mikel;ng NGA;MF;Chelsea;24;1987;14.7;0;;1;;;0.07;;0.00;;0;0;Matches
388;Peter Odemwingie;ng NGA;FW;West Brom;30;1981;25.4;10;;26;;;1.02;;0.38;;0;1;Matches
389;Jonas Olsson;se SWE;DF;West Brom;28;1983;32.7;2;;10;;;0.31;;0.20;;0;0;Matches
390;Marcus Olsson;se SWE;DF,FW;Blackburn;23;1988;11.0;0;;1;;;0.09;;0.00;;0;0;Matches
391;Martin Olsson;se SWE;DF,MF;Blackburn;23;1988;24.2;0;;3;;;0.12;;0.00;;0;0;Matches
392;Nedum Onuoha;eng ENG;DF;QPR;24;1986;16.0;0;;2;;;0.12;;0.00;;0;0;Matches
393;Nedum Onuoha;eng ENG;DF;Manchester City;24;1986;0.1;0;;0;;;0.00;;;;0;0;Matches
394;Andrea Orlandi;es ESP;FW,MF;Swansea City;26;1984;1.3;1;;2;;;1.51;;0.50;;0;0;Matches
395;Bradley Orr;eng ENG;DF;QPR;28;1982;3.7;0;;0;;;0.00;;;;0;0;Matches
396;Bradley Orr;eng ENG;DF;Blackburn;28;1982;10.6;0;;2;;;0.19;;0.00;;0;0;Matches
397;Leon Osman;eng ENG;MF;Everton;30;1981;26.3;5;;24;;;0.91;;0.21;;0;0;Matches
398;Michael Owen;eng ENG;FW;Manchester Utd;31;1979;0.9;0;;0;;;0.00;;;;0;0;Matches
399;Alex Oxlade-Chamberlain;eng ENG;FW,MF;Arsenal;17;1993;6.2;2;;3;;;0.48;;0.67;;0;0;Matches
400;Wilson Palacios;hn HON;MF;Stoke City;27;1984;9.0;0;;0;;;0.00;;;;0;0;Matches
401;Scott Parker;eng ENG;MF;Tottenham;30;1980;27.4;0;;4;;;0.15;;0.00;;0;0;Matches
402;Roman Pavlyuchenko;ru RUS;FW;Tottenham;29;1981;1.5;1;;1;;;0.68;;1.00;;0;0;Matches
403;Jermaine Pennant;eng ENG;MF;Stoke City;28;1983;18.9;0;;0;;;0.00;;;;0;0;Matches
404;James Perch;eng ENG;DF,MF;Newcastle Utd;25;1985;14.9;0;;0;;;0.00;;;;0;0;Matches
405;Bruno Perone;br BRA;DF,MF;QPR;24;1987;1.0;0;;0;;;0.00;;;;0;0;Matches
406;Robin van Persie;nl NED;FW;Arsenal;27;1983;37.0;30;;81;;;2.19;;0.35;;2;3;Matches
407;Martin Petrov;bg BUL;FW,MF;Bolton;32;1979;28.5;4;;21;;;0.74;;0.00;;4;4;Matches
408;Stiliyan Petrov;bg BUL;MF;Aston Villa;32;1979;25.8;4;;13;;;0.50;;0.31;;0;0;Matches
409;Radosav Petrović;rs SRB;DF,MF;Blackburn;22;1989;11.0;0;;2;;;0.18;;0.00;;0;0;Matches
410;Steven Pienaar;za RSA;MF;Tottenham;29;1982;0.2;0;;0;;;0.00;;;;0;0;Matches
411;Steven Pienaar;za RSA;MF;Everton;29;1982;13.7;4;;9;;;0.66;;0.44;;0;0;Matches
412;Anthony Pilkington;ie IRL;FW,MF;Norwich City;23;1988;21.9;8;;20;;;0.91;;0.40;;0;0;Matches
413;David Pizarro;cl CHI;MF;Manchester City;31;1979;1.8;0;;0;;;0.00;;;;0;0;Matches
414;Paul Pogba;fr FRA;MF;Manchester Utd;18;1993;0.8;0;;0;;;0.00;;;;0;0;Matches
415;Pavel Pogrebnyak;ru RUS;FW;Fulham;27;1983;10.5;6;;7;;;0.67;;0.86;;0;0;Matches
416;Darren Pratley;jm JAM;DF,MF;Bolton;26;1985;14.2;1;;6;;;0.42;;0.17;;0;0;Matches
417;Danny Pugh;eng ENG;DF,MF;Stoke City;28;1982;1.2;0;;0;;;0.00;;;;0;0;Matches
418;Jason Puncheon;eng ENG;MF;QPR;25;1986;0.2;0;;0;;;0.00;;;;0;0;Matches
419;Rafael;br BRA;DF,MF;Manchester Utd;21;1990;10.1;0;;5;;;0.49;;0.00;;0;0;Matches
420;Ramires;br BRA;MF;Chelsea;24;1987;27.5;5;;21;;;0.76;;0.24;;0;0;Matches
421;Aaron Ramsey;wls WAL;MF;Arsenal;20;1990;27.4;2;;19;;;0.69;;0.11;;0;0;Matches
422;Àngel Rangel;es ESP;DF;Swansea City;28;1982;31.9;0;;1;;;0.03;;0.00;;0;0;Matches
423;Abdul Razak;ci CIV;MF;Manchester City;18;1992;0.1;0;;0;;;0.00;;;;0;0;Matches
424;Tim Ream;us USA;DF;Bolton;23;1987;13.0;0;;1;;;0.08;;0.00;;0;0;Matches
425;Steven Reid;ie IRL;DF,MF;West Brom;30;1981;19.6;1;;4;;;0.20;;0.25;;0;0;Matches
426;Pepe Reina;es ESP;GK;Liverpool;28;1982;33.9;0;;0;;;0.00;;;;0;0;Matches
427;Nigel Reo-Coker;eng ENG;MF;Bolton;27;1984;36.2;3;;8;;;0.22;;0.38;;0;0;Matches
428;Jazz Richards;wls WAL;DF,MF;Swansea City;20;1991;6.4;0;;0;;;0.00;;;;0;0;Matches
429;Micah Richards;eng ENG;DF;Manchester City;23;1988;22.7;1;;7;;;0.31;;0.14;;0;0;Matches
430;Kieran Richardson;eng ENG;DF,MF;Sunderland;26;1984;25.3;2;;12;;;0.47;;0.17;;0;0;Matches
431;Sam Ricketts;wls WAL;DF;Bolton;29;1981;20.0;1;;4;;;0.20;;0.25;;0;0;Matches
432;Liam Ridgewell;eng ENG;DF;West Brom;27;1984;13.0;1;;7;;;0.54;;0.14;;0;0;Matches
433;Joe Riley;eng ENG;DF;Bolton;19;1991;2.2;0;;0;;;0.00;;;;0;0;Matches
434;Jason Roberts;gd GRN;FW;Blackburn;33;1978;5.2;0;;1;;;0.19;;0.00;;0;0;Matches
435;Paul Robinson;eng ENG;DF;Bolton;32;1978;15.8;0;;0;;;0.00;;;;0;0;Matches
436;Paul Robinson;eng ENG;GK;Blackburn;31;1979;34.0;0;;0;;;0.00;;;;0;0;Matches
437;Rubén Rochina;es ESP;FW,MF;Blackburn;20;1991;9.1;2;;10;;;1.10;;0.20;;0;0;Matches
438;Hugo Rodallega;co COL;FW;Wigan Athletic;26;1985;14.0;2;;15;;;1.07;;0.13;;0;0;Matches
439;Maxi Rodríguez;ar ARG;FW,MF;Liverpool;30;1981;8.8;4;;8;;;0.91;;0.50;;0;0;Matches
440;Jack Rodwell;eng ENG;DF,MF;Everton;20;1991;10.3;2;;7;;;0.68;;0.29;;0;0;Matches
441;Oriol Romeu;es ESP;MF;Chelsea;19;1991;10.6;0;;2;;;0.19;;0.00;;0;0;Matches
442;Wayne Rooney;eng ENG;FW,MF;Manchester Utd;25;1985;31.4;27;;72;;;2.29;;0.29;;6;8;Matches
443;Danny Rose;eng ENG;DF,MF;Tottenham;21;1990;3.6;0;;1;;;0.28;;0.00;;0;0;Matches
444;Tomáš Rosický;cz CZE;MF;Arsenal;30;1980;19.6;1;;10;;;0.51;;0.10;;0;0;Matches
445;Wayne Routledge;eng ENG;FW,MF;Swansea City;26;1985;16.2;1;;3;;;0.19;;0.33;;0;0;Matches
446;Declan Rudd;eng ENG;GK;Norwich City;20;1991;1.1;0;;0;;;0.00;;;;0;0;Matches
447;John Ruddy;eng ENG;GK;Norwich City;24;1986;36.9;0;;0;;;0.00;;;;0;0;Matches
448;Bryan Ruiz;cr CRC;FW,MF;Fulham;25;1985;16.8;2;;11;;;0.65;;0.18;;0;0;Matches
449;Orlando Sá;pt POR;FW;Fulham;23;1988;3.1;1;;4;;;1.28;;0.25;;0;0;Matches
450;Bacary Sagna;fr FRA;DF;Arsenal;28;1983;18.9;1;;2;;;0.11;;0.50;;0;0;Matches
451;Louis Saha;fr FRA;FW;Tottenham;32;1978;4.4;3;;6;;;1.35;;0.50;;0;0;Matches
452;Louis Saha;fr FRA;FW;Everton;32;1978;14.2;1;;9;;;0.63;;0.11;;0;0;Matches
453;Míchel Salgado;es ESP;DF;Blackburn;35;1975;7.2;0;;0;;;0.00;;;;0;0;Matches
454;Christopher Samba;cg CGO;DF;Blackburn;27;1984;15.0;2;;10;;;0.67;;0.20;;0;0;Matches
455;Conor Sammon;ie IRL;FW;Wigan Athletic;24;1986;9.4;0;;3;;;0.32;;0.00;;0;0;Matches
456;Sandro;br BRA;MF;Tottenham;22;1989;15.7;0;;4;;;0.26;;0.00;;0;0;Matches
457;Tuncay Şanlı;tr TUR;FW,MF;Bolton;29;1982;4.4;0;;1;;;0.23;;0.00;;0;0;Matches
458;Davide Santon;it ITA;DF;Newcastle Utd;20;1991;18.5;0;;1;;;0.05;;0.00;;0;0;Matches
459;André Santos;br BRA;DF,MF;Arsenal;28;1983;11.3;2;;4;;;0.35;;0.50;;0;0;Matches
460;Stefan Savić;me MNE;DF,MF;Manchester City;20;1991;6.1;1;;1;;;0.16;;1.00;;0;0;Matches
461;Paul Scharner;at AUT;DF,MF;West Brom;31;1980;17.8;3;;10;;;0.56;;0.30;;0;0;Matches
462;Paul Scholes;eng ENG;MF;Manchester Utd;36;1974;12.9;4;;7;;;0.54;;0.57;;0;0;Matches
