player,team,season,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalties_scored,penalties_attempted
Nemanja Vidić,Manchester Utd,2011-2012,5.6,0,,2.0,,,0.36,,0.0,,0,0
Sam Vokes,Wolves,2011-2012,0.7,0,,0.0,,,0.0,,,,0,0
Michel Vorm,Swansea City,2011-2012,37.0,0,,0.0,,,0.0,,,,0,0
Dorus de Vries,Wolves,2011-2012,3.6,0,,0.0,,,0.0,,,,0,0
Haris Vučkić,Newcastle Utd,2011-2012,1.9,0,,1.0,,,0.53,,0.0,,0,0
Simon Vukčević,Blackburn,2011-2012,4.2,1,,2.0,,,0.48,,0.5,,0,0
Theo Walcott,Arsenal,2011-2012,30.3,8,,34.0,,,1.12,,0.24,,0,0
Kyle Walker,Tottenham,2011-2012,35.9,2,,3.0,,,0.08,,0.67,,0,0
Jonathan Walters,Stoke City,2011-2012,37.0,7,,19.0,,,0.51,,0.16,,4,6
Elliott Ward,Norwich City,2011-2012,12.0,0,,1.0,,,0.08,,0.0,,0,0
Stephen Ward,Wolves,2011-2012,38.0,3,,6.0,,,0.16,,0.5,,0,0
Stephen Warnock,Aston Villa,2011-2012,33.9,2,,4.0,,,0.12,,0.5,,0,0
Ben Watson,Wigan Athletic,2011-2012,14.0,3,,7.0,,,0.5,,0.14,,2,4
Andreas Weimann,Aston Villa,2011-2012,6.0,2,,6.0,,,1.0,,0.33,,0,0
Danny Welbeck,Manchester Utd,2011-2012,22.4,9,,35.0,,,1.57,,0.26,,0,0
Keiren Westwood,Sunderland,2011-2012,8.4,0,,0.0,,,0.0,,,,0,0
David Wheater,Bolton,2011-2012,22.3,2,,4.0,,,0.18,,0.5,,0,0
Glenn Whelan,Stoke City,2011-2012,27.6,1,,3.0,,,0.11,,0.33,,0,0
Zak Whitbread,Norwich City,2011-2012,15.9,0,,4.0,,,0.25,,0.0,,0,0
Dean Whitehead,Stoke City,2011-2012,26.3,0,,2.0,,,0.08,,0.0,,0,0
Connor Wickham,Sunderland,2011-2012,5.9,1,,4.0,,,0.68,,0.25,,0,0
Aaron Wilbraham,Norwich City,2011-2012,3.5,1,,6.0,,,1.72,,0.17,,0,0
Andy Wilkinson,Stoke City,2011-2012,19.0,0,,2.0,,,0.11,,0.0,,0,0
Ashley Williams,Swansea City,2011-2012,37.0,1,,5.0,,,0.14,,0.2,,0,0
Mike Williamson,Newcastle Utd,2011-2012,21.1,0,,2.0,,,0.09,,0.0,,0,0
Marc Wilson,Stoke City,2011-2012,32.2,0,,7.0,,,0.22,,0.0,,0,0
Jonathan Woodgate,Stoke City,2011-2012,14.1,0,,0.0,,,0.0,,,,0,0
Shaun Wright-Phillips,QPR,2011-2012,24.6,0,,12.0,,,0.49,,0.0,,0,0
Nico Yennaris,Arsenal,2011-2012,0.5,0,,0.0,,,0.0,,,,0,0
Ashley Young,Manchester Utd,2011-2012,17.4,6,,21.0,,,1.21,,0.29,,0,0
Luke Young,Aston Villa,2011-2012,1.6,0,,0.0,,,0.0,,,,0,0
Luke Young,QPR,2011-2012,22.6,2,,5.0,,,0.22,,0.4,,0,0
Pablo Zabaleta,Manchester City,2011-2012,17.2,1,,5.0,,,0.29,,0.2,,0,0
Bobby Zamora,QPR,2011-2012,13.1,2,,6.0,,,0.46,,0.33,,0,0
Bobby Zamora,Fulham,2011-2012,13.1,5,,15.0,,,1.14,,0.27,,1,1
Ronald Zubar,Wolves,2011-2012,12.9,1,,2.0,,,0.15,,0.5,,0,0
