player,team,season,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,penalties_scored,penalties_attempted
Raul Meireles,Liverpool,2011-2012,0.4,0,,0.0,,,0.0,,,,0,0
Raul Meireles,Chelsea,2011-2012,21.4,2,,10.0,,,0.47,,0.2,,0,0
Per Mertesacker,Arsenal,2011-2012,20.3,0,,2.0,,,0.1,,0.0,,0,0
David Meyler,Sunderland,2011-2012,1.8,0,,0.0,,,0.0,,,,0,0
Simon Mignolet,Sunderland,2011-2012,28.6,0,,0.0,,,0.0,,,,0,0
Nenad Milijaš,Wolves,2011-2012,8.2,0,,4.0,,,0.49,,0.0,,0,0
James Milner,Manchester City,2011-2012,17.6,3,,8.0,,,0.45,,0.25,,1,1
Ignasi Miquel,Arsenal,2011-2012,2.4,0,,0.0,,,0.0,,,,0,0
Ryo Miyaichi,Bolton,2011-2012,7.6,0,,4.0,,,0.53,,0.0,,0,0
Anthony Modeste,Blackburn,2011-2012,4.4,0,,4.0,,,0.92,,0.0,,0,0
Luka Modrić,Tottenham,2011-2012,35.7,4,,25.0,,,0.7,,0.16,,0,0
Garry Monk,Swansea City,2011-2012,14.1,0,,0.0,,,0.0,,,,0,0
Luke Moore,Swansea City,2011-2012,5.9,2,,6.0,,,1.02,,0.33,,0,0
Vangelis Moras,Swansea City,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Steve Morison,Norwich City,2011-2012,23.4,9,,23.0,,,0.98,,0.39,,0,0
Josh Morris,Blackburn,2011-2012,0.9,0,,1.0,,,1.11,,0.0,,0,0
James Morrison,West Brom,2011-2012,23.8,5,,17.0,,,0.71,,0.29,,0,0
Victor Moses,Wigan Athletic,2011-2012,35.7,6,,32.0,,,0.9,,0.19,,0,0
Fabrice Muamba,Bolton,2011-2012,14.7,1,,4.0,,,0.27,,0.25,,0,0
Youssouf Mulumbu,West Brom,2011-2012,31.0,1,,8.0,,,0.26,,0.13,,0,0
Danny Murphy,Fulham,2011-2012,30.3,3,,11.0,,,0.36,,0.09,,2,2
David N'Gog,Bolton,2011-2012,22.6,3,,21.0,,,0.93,,0.14,,0,0
Charles N'Zogbia,Aston Villa,2011-2012,23.0,2,,11.0,,,0.48,,0.18,,0,0
Nani,Manchester Utd,2011-2012,23.4,8,,24.0,,,1.03,,0.33,,0,0
Samir Nasri,Arsenal,2011-2012,1.0,0,,0.0,,,0.0,,,,0,0
Samir Nasri,Manchester City,2011-2012,24.0,5,,17.0,,,0.71,,0.29,,0,0
Kyle Naughton,Norwich City,2011-2012,30.0,0,,5.0,,,0.17,,0.0,,0,0
Ryan Nelsen,Tottenham,2011-2012,1.3,0,,0.0,,,0.0,,,,0,0
Ryan Nelsen,Blackburn,2011-2012,1.0,0,,0.0,,,0.0,,,,0,0
Phil Neville,Everton,2011-2012,22.9,0,,0.0,,,0.0,,,,0,0
Ryan Noble,Sunderland,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Steven Nzonzi,Blackburn,2011-2012,31.2,2,,6.0,,,0.19,,0.33,,0,0
Jamie O'Hara,Wolves,2011-2012,18.4,2,,16.0,,,0.87,,0.13,,0,0
John O'Shea,Sunderland,2011-2012,27.1,0,,6.0,,,0.22,,0.0,,0,0
Gabriel Obertan,Newcastle Utd,2011-2012,17.2,1,,2.0,,,0.12,,0.5,,0,0
John Obi Mikel,Chelsea,2011-2012,14.7,0,,1.0,,,0.07,,0.0,,0,0
Peter Odemwingie,West Brom,2011-2012,25.4,10,,26.0,,,1.02,,0.38,,0,1
Jonas Olsson,West Brom,2011-2012,32.7,2,,10.0,,,0.31,,0.2,,0,0
Marcus Olsson,Blackburn,2011-2012,11.0,0,,1.0,,,0.09,,0.0,,0,0
Martin Olsson,Blackburn,2011-2012,24.2,0,,3.0,,,0.12,,0.0,,0,0
Nedum Onuoha,QPR,2011-2012,16.0,0,,2.0,,,0.12,,0.0,,0,0
Nedum Onuoha,Manchester City,2011-2012,0.1,0,,0.0,,,0.0,,,,0,0
Andrea Orlandi,Swansea City,2011-2012,1.3,1,,2.0,,,1.51,,0.5,,0,0
Bradley Orr,QPR,2011-2012,3.7,0,,0.0,,,0.0,,,,0,0
Bradley Orr,Blackburn,2011-2012,10.6,0,,2.0,,,0.19,,0.0,,0,0
Leon Osman,Everton,2011-2012,26.3,5,,24.0,,,0.91,,0.21,,0,0
Michael Owen,Manchester Utd,2011-2012,0.9,0,,0.0,,,0.0,,,,0,0
Alex Oxlade-Chamberlain,Arsenal,2011-2012,6.2,2,,3.0,,,0.48,,0.67,,0,0
Wilson Palacios,Stoke City,2011-2012,9.0,0,,0.0,,,0.0,,,,0,0
Scott Parker,Tottenham,2011-2012,27.4,0,,4.0,,,0.15,,0.0,,0,0
Roman Pavlyuchenko,Tottenham,2011-2012,1.5,1,,1.0,,,0.68,,1.0,,0,0
Jermaine Pennant,Stoke City,2011-2012,18.9,0,,0.0,,,0.0,,,,0,0
James Perch,Newcastle Utd,2011-2012,14.9,0,,0.0,,,0.0,,,,0,0
Bruno Perone,QPR,2011-2012,1.0,0,,0.0,,,0.0,,,,0,0
