match_id,date,season,home_team,away_team,home_goals,away_goals,result
20120407_West_Brom_Blackburn,2012-04-07,2011-2012,West Brom,Blackburn,3,0,H
20120408_Arsenal_Man_City,2012-04-08,2011-2012,Arsenal,Man City,1,0,H
20120408_Man_United_QPR,2012-04-08,2011-2012,Man United,QPR,2,0,H
20120409_Aston_Villa_Stoke,2012-04-09,2011-2012,Aston Villa,Stoke,1,1,D
20120409_Everton_Sunderland,2012-04-09,2011-2012,Everton,Sunderland,4,0,H
20120409_Fulham_Chelsea,2012-04-09,2011-2012,Fulham,Chelsea,1,1,D
20120409_Newcastle_Bolton,2012-04-09,2011-2012,Newcastle,Bolton,2,0,H
20120409_Tottenham_Norwich,2012-04-09,2011-2012,Tottenham,Norwich,1,2,A
20120410_Blackburn_Liverpool,2012-04-10,2011-2012,Blackburn,Liverpool,2,3,A
20120411_Man_City_West_Brom,2012-04-11,2011-2012,Man City,West Brom,4,0,H
20120411_QPR_Swansea,2012-04-11,2011-2012,QPR,Swansea,3,0,H
20120411_Wigan_Man_United,2012-04-11,2011-2012,Wigan,Man United,1,0,H
20120411_Wolves_Arsenal,2012-04-11,2011-2012,Wolves,Arsenal,0,3,A
20120414_Norwich_Man_City,2012-04-14,2011-2012,Norwich,Man City,1,6,A
20120414_Sunderland_Wolves,2012-04-14,2011-2012,Sunderland,Wolves,0,0,D
20120414_Swansea_Blackburn,2012-04-14,2011-2012,Swansea,Blackburn,3,0,H
20120414_West_Brom_QPR,2012-04-14,2011-2012,West Brom,QPR,1,0,H
20120415_Man_United_Aston_Villa,2012-04-15,2011-2012,Man United,Aston Villa,4,0,H
20120416_Arsenal_Wigan,2012-04-16,2011-2012,Arsenal,Wigan,1,2,A
20120421_Arsenal_Chelsea,2012-04-21,2011-2012,Arsenal,Chelsea,0,0,D
20120421_Aston_Villa_Sunderland,2012-04-21,2011-2012,Aston Villa,Sunderland,0,0,D
20120421_Blackburn_Norwich,2012-04-21,2011-2012,Blackburn,Norwich,2,0,H
20120421_Bolton_Swansea,2012-04-21,2011-2012,Bolton,Swansea,1,1,D
20120421_Fulham_Wigan,2012-04-21,2011-2012,Fulham,Wigan,2,1,H
20120421_Newcastle_Stoke,2012-04-21,2011-2012,Newcastle,Stoke,3,0,H
20120421_QPR_Tottenham,2012-04-21,2011-2012,QPR,Tottenham,1,0,H
20120422_Liverpool_West_Brom,2012-04-22,2011-2012,Liverpool,West Brom,0,1,A
20120422_Man_United_Everton,2012-04-22,2011-2012,Man United,Everton,4,4,D
20120422_Wolves_Man_City,2012-04-22,2011-2012,Wolves,Man City,0,2,A
20120424_Aston_Villa_Bolton,2012-04-24,2011-2012,Aston Villa,Bolton,1,2,A
20120428_Everton_Fulham,2012-04-28,2011-2012,Everton,Fulham,4,0,H
20120428_Norwich_Liverpool,2012-04-28,2011-2012,Norwich,Liverpool,0,3,A
20120428_Stoke_Arsenal,2012-04-28,2011-2012,Stoke,Arsenal,1,1,D
20120428_Sunderland_Bolton,2012-04-28,2011-2012,Sunderland,Bolton,2,2,D
20120428_Swansea_Wolves,2012-04-28,2011-2012,Swansea,Wolves,4,4,D
20120428_West_Brom_Aston_Villa,2012-04-28,2011-2012,West Brom,Aston Villa,0,0,D
20120428_Wigan_Newcastle,2012-04-28,2011-2012,Wigan,Newcastle,4,0,H
20120429_Chelsea_QPR,2012-04-29,2011-2012,Chelsea,QPR,6,1,H
20120429_Tottenham_Blackburn,2012-04-29,2011-2012,Tottenham,Blackburn,2,0,H
20120430_Man_City_Man_United,2012-04-30,2011-2012,Man City,Man United,1,0,H
20120501_Liverpool_Fulham,2012-05-01,2011-2012,Liverpool,Fulham,0,1,A
20120501_Stoke_Everton,2012-05-01,2011-2012,Stoke,Everton,1,1,D
20120502_Bolton_Tottenham,2012-05-02,2011-2012,Bolton,Tottenham,1,4,A
20120502_Chelsea_Newcastle,2012-05-02,2011-2012,Chelsea,Newcastle,0,2,A
20120505_Arsenal_Norwich,2012-05-05,2011-2012,Arsenal,Norwich,3,3,D
20120506_Aston_Villa_Tottenham,2012-05-06,2011-2012,Aston Villa,Tottenham,1,1,D
20120506_Bolton_West_Brom,2012-05-06,2011-2012,Bolton,West Brom,2,2,D
20120506_Fulham_Sunderland,2012-05-06,2011-2012,Fulham,Sunderland,2,1,H
20120506_Man_United_Swansea,2012-05-06,2011-2012,Man United,Swansea,2,0,H
20120506_Newcastle_Man_City,2012-05-06,2011-2012,Newcastle,Man City,0,2,A
20120506_QPR_Stoke,2012-05-06,2011-2012,QPR,Stoke,1,0,H
20120506_Wolves_Everton,2012-05-06,2011-2012,Wolves,Everton,0,0,D
20120507_Blackburn_Wigan,2012-05-07,2011-2012,Blackburn,Wigan,0,1,A
20120508_Liverpool_Chelsea,2012-05-08,2011-2012,Liverpool,Chelsea,4,1,H
20120513_Chelsea_Blackburn,2012-05-13,2011-2012,Chelsea,Blackburn,2,1,H
20120513_Everton_Newcastle,2012-05-13,2011-2012,Everton,Newcastle,3,1,H
20120513_Man_City_QPR,2012-05-13,2011-2012,Man City,QPR,3,2,H
20120513_Norwich_Aston_Villa,2012-05-13,2011-2012,Norwich,Aston Villa,2,0,H
20120513_Stoke_Bolton,2012-05-13,2011-2012,Stoke,Bolton,2,2,D
20120513_Sunderland_Man_United,2012-05-13,2011-2012,Sunderland,Man United,0,1,A
20120513_Swansea_Liverpool,2012-05-13,2011-2012,Swansea,Liverpool,1,0,H
20120513_Tottenham_Fulham,2012-05-13,2011-2012,Tottenham,Fulham,2,0,H
20120513_West_Brom_Arsenal,2012-05-13,2011-2012,West Brom,Arsenal,2,3,A
20120513_Wigan_Wolves,2012-05-13,2011-2012,Wigan,Wolves,3,2,H
