player,team,season,matches_played,starts,minutes,minutes_90s,goals,assists,goals_assists,non_penalty_goals,penalties_scored,penalties_attempted,yellow_cards,red_cards,goals_assists_non_penalty_per_90
Andrew Crofts,Norwich City,2011-2012,24,13,,14.3,0,1,1,0,0,0,3,0,0.07
Peter Crouch,Stoke City,2011-2012,32,31,,29.8,10,2,12,10,0,0,2,0,0.4
Peter Crouch,Tottenham,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Albert Crusat,Wigan Athletic,2011-2012,15,4,493.0,5.5,1,0,1,1,0,0,1,0,0.18
Carlos Cuéllar,Aston Villa,2011-2012,18,17,,16.6,0,1,1,0,0,0,2,0,0.06
Scott Dann,Blackburn,2011-2012,27,27,,26.7,1,1,2,1,0,1,2,0,0.07
Kevin Davies,Bolton,2011-2012,31,21,,20.7,6,2,8,6,0,1,3,0,0.39
Mark Davies,Bolton,2011-2012,35,29,,30.6,4,0,4,4,0,0,4,0,0.13
Simon Davies,Fulham,2011-2012,6,3,302.0,3.4,0,0,0,0,0,0,0,0,0.0
David Davis,Wolves,2011-2012,7,6,396.0,4.4,0,0,0,0,0,0,0,0,0.0
Craig Dawson,West Brom,2011-2012,8,6,542.0,6.0,0,0,0,0,0,0,0,0,0.0
Michael Dawson,Tottenham,2011-2012,7,6,549.0,6.1,0,0,0,0,0,0,1,0,0.0
Ritchie De Laet,Norwich City,2011-2012,6,6,480.0,5.3,1,0,1,1,0,0,1,0,0.19
Jermain Defoe,Tottenham,2011-2012,25,11,,14.5,11,1,12,11,0,0,2,0,0.83
Rory Delap,Stoke City,2011-2012,26,18,,16.9,2,0,2,2,0,0,4,0,0.12
Nathan Delfouneso,Aston Villa,2011-2012,6,1,163.0,1.8,0,0,0,0,0,0,0,0,0.0
Fabian Delph,Aston Villa,2011-2012,11,10,848.0,9.4,0,0,0,0,0,0,3,0,0.0
Mousa Dembélé,Fulham,2011-2012,36,33,,32.6,2,2,4,2,0,0,6,0,0.12
Clint Dempsey,Fulham,2011-2012,37,37,,36.9,17,6,23,17,0,1,2,0,0.62
Rafael van der Vaart,Tottenham,2011-2012,33,28,,25.7,11,7,18,10,1,1,3,0,0.66
Shaun Derry,QPR,2011-2012,29,28,,24.7,1,0,1,1,0,0,4,1,0.04
Franco Di Santo,Wigan Athletic,2011-2012,32,24,,22.5,7,1,8,7,0,0,4,0,0.36
Abou Diaby,Arsenal,2011-2012,4,0,94.0,1.0,0,0,0,0,0,0,1,0,0.0
Samba Diakité,QPR,2011-2012,9,9,672.0,7.5,1,0,1,1,0,0,7,1,0.13
Mohamed Diamé,Wigan Athletic,2011-2012,26,18,,17.8,3,0,3,3,0,0,4,0,0.17
Salif Diao,Stoke City,2011-2012,6,2,121.0,1.3,0,0,0,0,0,0,1,0,0.0
Mahamadou Diarra,Fulham,2011-2012,11,8,749.0,8.3,1,1,2,1,0,0,1,0,0.24
Sylvain Distin,Everton,2011-2012,27,24,,24.6,0,1,1,0,0,0,4,0,0.04
Johan Djourou,Arsenal,2011-2012,18,14,,12.9,0,1,1,0,0,0,5,1,0.08
Stephen Dobbie,Swansea City,2011-2012,8,2,262.0,2.9,0,0,0,0,0,0,0,0,0.0
Matt Doherty,Wolves,2011-2012,1,0,45.0,0.5,0,0,0,0,0,0,0,0,0.0
Ji Dong-won,Sunderland,2011-2012,19,2,453.0,5.0,2,2,4,2,0,0,1,0,0.79
Doni,Liverpool,2011-2012,4,4,295.0,3.3,0,0,0,0,0,0,0,1,0.0
Landon Donovan,Everton,2011-2012,7,7,630.0,7.0,0,3,3,0,0,0,1,0,0.43
Graham Dorrans,West Brom,2011-2012,31,16,,16.9,3,2,5,3,0,0,4,0,0.3
Giovani dos Santos,Tottenham,2011-2012,7,0,58.0,0.6,0,0,0,0,0,0,0,0,0.0
Stewart Downing,Liverpool,2011-2012,36,28,,27.5,0,0,0,0,0,1,1,0,0.0
Kevin Doyle,Wolves,2011-2012,33,26,,26.1,4,7,11,4,0,1,4,0,0.42
Royston Drenthe,Everton,2011-2012,21,10,,11.6,3,5,8,3,0,0,5,0,0.69
Didier Drogba,Chelsea,2011-2012,24,16,,16.4,5,1,6,4,1,1,1,1,0.3
Adam Drury,Norwich City,2011-2012,12,12,901.0,10.0,0,0,0,0,0,0,2,0,0.0
Damien Duff,Fulham,2011-2012,28,23,,23.5,2,3,5,2,0,0,2,0,0.21
Shane Duffy,Everton,2011-2012,4,2,213.0,2.4,0,0,0,0,0,0,0,0,0.0
David Dunn,Blackburn,2011-2012,26,21,,17.8,2,1,3,2,0,0,5,1,0.17
Richard Dunne,Aston Villa,2011-2012,28,28,,28.0,1,0,1,1,0,0,7,0,0.04
Kieron Dyer,QPR,2011-2012,1,1,6.0,0.1,0,0,0,0,0,0,0,0,0.0
Nathan Dyer,Swansea City,2011-2012,34,29,,26.2,5,2,7,5,0,0,1,1,0.27
Edin Džeko,Manchester City,2011-2012,30,16,,16.8,14,3,17,14,0,0,1,0,1.01
Chris Eagles,Bolton,2011-2012,34,26,,25.4,4,6,10,4,0,0,1,0,0.39
Sylvan Ebanks-Blake,Wolves,2011-2012,23,8,,11.4,1,3,4,1,0,0,1,0,0.35
David Edwards,Wolves,2011-2012,26,24,,21.4,3,1,4,3,0,0,2,0,0.19
Ahmed Elmohamady,Sunderland,2011-2012,18,7,785.0,8.7,1,1,2,1,0,0,0,0,0.23
George Elokobi,Wolves,2011-2012,9,3,298.0,3.3,0,0,0,0,0,0,0,0,0.0
Brett Emerton,Blackburn,2011-2012,2,2,135.0,1.5,0,0,0,0,0,0,1,0,0.0
José Enrique,Liverpool,2011-2012,35,33,,33.3,0,2,2,0,0,0,2,0,0.06
Hogan Ephraim,QPR,2011-2012,2,0,43.0,0.5,0,0,0,0,0,0,0,0,0.0
Michael Essien,Chelsea,2011-2012,14,10,919.0,10.2,0,1,1,0,0,0,3,0,0.1
Matthew Etherington,Stoke City,2011-2012,30,30,,26.2,3,7,10,3,0,0,1,0,0.38
Dickson Etuhu,Fulham,2011-2012,22,9,910.0,10.1,0,0,0,0,0,0,4,0,0.0
Jonny Evans,Manchester Utd,2011-2012,29,28,,26.9,1,3,4,1,0,0,6,1,0.15
Patrice Evra,Manchester Utd,2011-2012,37,37,,35.9,0,4,4,0,0,0,6,0,0.11
Fábio,Manchester Utd,2011-2012,5,2,248.0,2.8,0,0,0,0,0,0,1,0,0.0
Alejandro Faurlín,QPR,2011-2012,20,20,,20.0,1,0,1,1,0,0,3,0,0.05
Marouane Fellaini,Everton,2011-2012,34,31,,31.7,3,4,7,3,0,0,6,0,0.22
Anton Ferdinand,Sunderland,2011-2012,3,3,270.0,3.0,0,0,0,0,0,0,0,0,0.0
Anton Ferdinand,QPR,2011-2012,31,31,,30.5,0,2,2,0,0,0,2,0,0.07
Rio Ferdinand,Manchester Utd,2011-2012,30,29,,28.5,0,0,0,0,0,0,4,0,0.0
Shane Ferguson,Newcastle Utd,2011-2012,7,0,160.0,1.8,0,0,0,0,0,0,1,0,0.0
Paulo Ferreira,Chelsea,2011-2012,6,3,369.0,4.1,0,0,0,0,0,0,1,0,0.0
Maynor Figueroa,Wigan Athletic,2011-2012,38,37,,37.2,0,0,0,0,0,0,6,0,0.0
Jon Flanagan,Liverpool,2011-2012,5,5,385.0,4.3,0,0,0,0,0,0,2,0,0.0
Darren Fletcher,Manchester Utd,2011-2012,8,7,644.0,7.2,1,1,2,1,0,0,1,0,0.28
Steven Fletcher,Wolves,2011-2012,32,26,,26.1,12,2,14,12,0,0,2,0,0.54
Kevin Foley,Wolves,2011-2012,16,11,,11.9,0,0,0,0,0,0,0,0,0.0
Anthony Forde,Wolves,2011-2012,6,3,244.0,2.7,0,0,0,0,0,0,0,0,0.0
Mauro Formica,Blackburn,2011-2012,34,25,,24.1,4,1,5,4,0,1,3,0,0.21
Marc-Antoine Fortuné,West Brom,2011-2012,17,12,,12.3,2,1,3,2,0,0,0,0,0.24
Ben Foster,West Brom,2011-2012,37,37,,37.0,0,0,0,0,0,0,0,0,0.0
David Fox,Norwich City,2011-2012,28,23,,21.5,0,3,3,0,0,0,3,0,0.14
Kerim Frei,Fulham,2011-2012,16,6,680.0,7.6,0,0,0,0,0,0,1,0,0.0
Brad Friedel,Tottenham,2011-2012,38,38,,38.0,0,0,0,0,0,0,0,0,0.0
Emmanuel Frimpong,Arsenal,2011-2012,6,3,217.0,2.4,0,0,0,0,0,0,2,1,0.0
Emmanuel Frimpong,Wolves,2011-2012,5,5,287.0,3.2,0,1,1,0,0,0,1,0,0.31
Zeki Fryers,Manchester Utd,2011-2012,2,0,69.0,0.8,0,0,0,0,0,0,0,0,0.0
Ricardo Fuller,Stoke City,2011-2012,13,3,359.0,4.0,0,0,0,0,0,0,2,1,0.0
Márton Fülöp,West Brom,2011-2012,1,1,90.0,1.0,0,0,0,0,0,0,0,0,0.0
Danny Gabbidon,QPR,2011-2012,17,15,,15.8,0,0,0,0,0,0,1,0,0.0
William Gallas,Tottenham,2011-2012,15,15,,14.7,0,0,0,0,0,0,1,0,0.0
Morten Gamst Pedersen,Blackburn,2011-2012,33,33,,31.4,3,4,7,3,0,0,6,0,0.22
Craig Gardner,Sunderland,2011-2012,30,22,,23.5,3,0,3,3,0,0,6,1,0.13
Gary Gardner,Aston Villa,2011-2012,14,5,612.0,6.8,0,0,0,0,0,0,1,0,0.0
Ricardo Gardner,Bolton,2011-2012,4,2,161.0,1.8,0,0,0,0,0,0,2,1,0.0
